"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  333"
"response","count","percent_responded"
"Smoke flower","250","75.08"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","195","58.56"
"Vape cartridges","150","45.05"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","137","41.14"
"Tinctures","116","34.83"
"Vape flower","95","28.53"
"Salves/topicals","84","25.23"
"Capsules","51","15.32"
"Transdermal patches","28","8.41"
"Other (please specify)","16","4.8"
"Suppositories","13","3.9"
