"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  228"
"response","count","percent_responded"
"Burn Pits","89","39.04"
"I was not exposed to any of these","56","24.56"
"Asbestos","55","24.12"
"Specific Environmental Hazards","49","21.49"
"Agent Orange","35","15.35"
"Gulf war illness","28","12.28"
"Radiation Exposure","20","8.77"
"contaminated drinking water at camp Lejelune","15","6.58"
"Other (please specify)","13","5.7"
"Gulf war illness in Afghanistan","6","2.63"
"Children having birth defects like Spina Bifida","5","2.19"
"Contact with mustard gas or lewisite","2","0.88"
