"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  142"
"response","count","percent_responded"
"Bachelors degree","53","37.32"
"Some college, no degree","28","19.72"
"High school degree or equivalent (GED)","23","16.2"
"Masters degree","17","11.97"
"Associate degree","14","9.86"
"Prefer not to answer","3","2.11"
"Professional degree (MD, JD, DDS, DVM)","2","1.41"
"Doctorate (Ph.D., EdD, etc)","1","0.7"
"Less than high school diploma","1","0.7"
