"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  299"
"response","count","percent_responded"
"Pain","210","70.23"
"Sleep/insomnia","184","61.54"
"Depression/mood","177","59.2"
"Anxiety/panic attacks","132","44.15"
"Inflammation","93","31.1"
"Attention/concentration","85","28.43"
"Headache","79","26.42"
"Appetite/weight","72","24.08"
"Spasms","62","20.74"
"Aggression","61","20.4"
"Skin conditions","40","13.38"
"Respiratory","32","10.7"
"Nausea/vomiting","28","9.36"
"Ocular pressure","23","7.69"
"Other (please specify)","20","6.69"
"Drug withdrawal","8","2.68"
"Seizures","6","2.01"
"Mania/psychosis","3","1"
