"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  333"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","141","42.34"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","116","34.83"
"I don’t take any prescription medications","79","23.72"
"Anti-inflammatories","76","22.82"
"Other (please specify)","73","21.92"
"Muscle relaxants","64","19.22"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","62","18.62"
"Statins (e.g. Lipitor, Crestor)","59","17.72"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","44","13.21"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","42","12.61"
"Antihypertensives","32","9.61"
"Steroids, including steroid creams","28","8.41"
"Beta Blockers","26","7.81"
"Antipsychotics (e.g. Abilify, Seroquel)","21","6.31"
"Proton pump inhibitors","17","5.11"
"Sedatives/hypnotics","16","4.8"
"Insulin","13","3.9"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","13","3.9"
"Antimigraine","11","3.3"
"Hormone replacement therapy (HRT)","11","3.3"
"Barbiturates (e.g. Floricet)","5","1.5"
"Antiemetics","2","0.6"
