"q6","What symptoms for the primary condition do you use cannabis to treat? Please select all that apply.","n =  279"
"response","count","percent_responded"
"Anxiety","235","84.23"
"Sleep","205","73.48"
"Depression","204","73.12"
"Pain","180","64.52"
"Inflammation","114","40.86"
"Headache","101","36.2"
"Nausea","88","31.54"
"Attention/concentration","78","27.96"
"Spasms","63","22.58"
"Appetite/weight","58","20.79"
"Aggression","52","18.64"
"Other (please specify)","19","6.81"
"Skin conditions","14","5.02"
"Mainia/psychosis","12","4.3"
"Drug withdrawl","11","3.94"
"Ocular pressure","9","3.23"
"Respiratory","8","2.87"
"Seizures","3","1.08"
