"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  834"
"response","count","percent_responded"
"Bachelors degree","238","28.54"
"Some college, no degree","212","25.42"
"Associate degree","106","12.71"
"High school degree or equivalent (GED)","105","12.59"
"Masters degree","97","11.63"
"Professional degree (MD, JD, DDS, DVM)","30","3.6"
"Prefer not to answer","20","2.4"
"Less than high school diploma","15","1.8"
"Doctorate (Ph.D., EdD, etc)","11","1.32"
