"q7","How does cannabis help your daily life? (Please select all that apply)","n =  825"
"response","count","percent_responded"
"Generally helps with quality of life","660","80"
"Helps with psychological symptoms (e.g. anxiety, stress, calm, sadness, energy)","641","77.7"
"Helps with physical symptoms (e.g. body pains, function, sensation)","636","77.09"
"Helps to reduce use of other prior medicines (non-opiates)","313","37.94"
"Helps to avoid starting other medicines (including opiates)","304","36.85"
"Helps to reduce use of alcohol","251","30.42"
"Helps to reduce use of opiates","177","21.45"
"Helps to reduce us of tobacco","101","12.24"
"Other (please specify)","39","4.73"
"Does not help my daily life","4","0.48"
