"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  87"
"response","count","percent_responded"
"Money to purchase products","37","42.53"
"Owning a firearm","31","35.63"
"Stigma","30","34.48"
"Access to the right products","28","32.18"
"Workplace testing or other policies","27","31.03"
"Money required to get medical card","26","29.89"
"Lack of knowledge","13","14.94"
"Other (please specify)","13","14.94"
"Place to consume cannabis","10","11.49"
"Previous bad experience","2","2.3"
