"q48","What is your top preferred method (that is, favorite method) of using cannabis? (Please select one)","n =  391"
"response","count","percent_responded"
"Smoke flower","173","44.25"
"Vape cartridges","70","17.9"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","65","16.62"
"Tinctures","25","6.39"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","24","6.14"
"Vape flower","22","5.63"
"Capsules","9","2.3"
"Salves/topicals","2","0.51"
"Transdermal patches","1","0.26"
