"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  834"
"response","count","percent_responded"
"Dry mouth","561","67.27"
"More or less talkative","256","30.7"
"Changes in appetite","240","28.78"
"Sleepiness/fatigue","230","27.58"
"Increased energy","218","26.14"
"Memory problems","164","19.66"
"Experienced no side effects","141","16.91"
"Changes in libido","101","12.11"
"Feeling of being ""altered""","98","11.75"
"Paranoia","91","10.91"
"Difficultly concentrating","89","10.67"
"Heart racing/palpitations","86","10.31"
"Tough to get started in the morning (lassitude)","69","8.27"
"Racing thoughts","66","7.91"
"Anxiety","65","7.79"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","61","7.31"
"Other (please specify)","43","5.16"
"Dizziness","37","4.44"
"Apathy","32","3.84"
"Headache","30","3.6"
"Sweating","21","2.52"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","15","1.8"
"Nausea","14","1.68"
"Depression","13","1.56"
