"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  142"
"response","count","percent_responded"
"Dry mouth","82","57.75"
"Changes in appetite","38","26.76"
"More or less talkative","31","21.83"
"Experienced no side effects","30","21.13"
"Increased energy","27","19.01"
"Sleepiness/fatigue","23","16.2"
"Memory problems","21","14.79"
"Difficultly concentrating","16","11.27"
"Feeling of being ""altered""","12","8.45"
"Heart racing/palpitations","11","7.75"
"Anxiety","10","7.04"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","9","6.34"
"Paranoia","9","6.34"
"Racing thoughts","9","6.34"
"Changes in libido","8","5.63"
"Other (please specify)","8","5.63"
"Tough to get started in the morning (lassitude)","8","5.63"
"Headache","7","4.93"
"Nausea","5","3.52"
"Apathy","4","2.82"
"Depression","4","2.82"
"Dizziness","3","2.11"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","3","2.11"
"Sweating","1","0.7"
