"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  265  avg =  78.408"
"response","count","percent_responded"
"0","138","52.08"
"20","12","4.53"
"100","9","3.4"
"30","9","3.4"
"300","8","3.02"
"400","8","3.02"
"50","8","3.02"
"10","7","2.64"
"150","7","2.64"
"40","6","2.26"
"1000","4","1.51"
"200","4","1.51"
"60","4","1.51"
"600","4","1.51"
"25","3","1.13"
"250","3","1.13"
"500","3","1.13"
"8","3","1.13"
"1","2","0.75"
"15","2","0.75"
"16","2","0.75"
"35","2","0.75"
"350","2","0.75"
"55","2","0.75"
"9","2","0.75"
"125","1","0.38"
"160","1","0.38"
"180","1","0.38"
"4","1","0.38"
"45","1","0.38"
"450","1","0.38"
"46","1","0.38"
"7","1","0.38"
"70","1","0.38"
"80","1","0.38"
"90","1","0.38"
