"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  232"
"response","count","percent_responded"
"Chronic pain","156","67.24"
"Anxiety","153","65.95"
"Depression","122","52.59"
"Posttraumatic stress disorder (PTSD)","120","51.72"
"Arthritis","72","31.03"
"Insomnia","62","26.72"
"Gastrointestinal/digestive system disorders","28","12.07"
"Attention deficit/hyperactivity disorder (ADHD)","24","10.34"
"Other (please specify)","22","9.48"
"Hypertension","18","7.76"
"Inflammatory bowel disease (IBD)","17","7.33"
"Substance abuse/addiction","16","6.9"
"Cancer","15","6.47"
"Reflux esophagitis","12","5.17"
"Fibromyalgia/myositis","11","4.74"
"Bipolar/manic depression","8","3.45"
"Diabetes","8","3.45"
"Obesity","7","3.02"
"Respiratory problems","7","3.02"
"Allergies","6","2.59"
"Eczema","6","2.59"
"Cardiovascular disease","4","1.72"
"HIV/AIDS","2","0.86"
"Epilepsy","1","0.43"
