"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  105"
"response","count","percent_responded"
"Dry mouth","73","69.52"
"Increased energy","44","41.9"
"Changes in appetite","40","38.1"
"More or less talkative","33","31.43"
"Sleepiness/fatigue","25","23.81"
"Changes in libido","16","15.24"
"Memory problems","11","10.48"
"Difficulty concentrating","10","9.52"
"Feeling of being ""altered""","10","9.52"
"Other (please specify)","9","8.57"
"Paranoia","8","7.62"
"Heart racing/palpitations","7","6.67"
"Tough to get started in the morning (lassitude) or ""couch lock""","7","6.67"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","6","5.71"
"Racing thoughts","6","5.71"
"Anxiety","5","4.76"
"Apathy","4","3.81"
"Headache","3","2.86"
"Depression","2","1.9"
"Dizziness","2","1.9"
"GI changes (constipation, diarrhea, abdominal discomfort)","1","0.95"
"Nausea","1","0.95"
