"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  185"
"response","count","percent_responded"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","126","68.11"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","68","36.76"
"Muscle relaxants","45","24.32"
"Anti-inflammatories","41","22.16"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","40","21.62"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","40","21.62"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","38","20.54"
"I have reduced my prescription medication use in the past","37","20"
"I'm not trying to reduce any medication use","25","13.51"
"Sedatives/hypnotics","15","8.11"
"Statins (e.g. Lipitor, Crestor)","12","6.49"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","11","5.95"
"Antimigraine","10","5.41"
"Antipsychotics (e.g. Abilify, Seroquel)","10","5.41"
"Steroids, including steroid creams","10","5.41"
"Beta Blockers","8","4.32"
"Antihypertensives","7","3.78"
"Barbiturates (e.g. Floricet)","7","3.78"
"Other (please specify)","4","2.16"
"I don’t take any medications","3","1.62"
"Proton pump inhibitors","3","1.62"
"Antiemetics","2","1.08"
"Hormone replacement therapy (HRT)","2","1.08"
"Insulin","2","1.08"
