"q61","What is the highest degree or level of school you have completed? If you are currently enrolled in school, please indicate the highest degree you have recieved.","n =  170"
"response","count","percent_responded"
"Some college, no degree","47","27.65"
"Bachelors degree","43","25.29"
"Masters degree","26","15.29"
"Associate degree","23","13.53"
"High school degree or equivalent (GED)","16","9.41"
"Professional degree (MD, JD, DDS, DVM)","5","2.94"
"Doctorate (Ph.D., EdD, etc)","4","2.35"
"Prefer not to answer","4","2.35"
"Less than high school diploma","2","1.18"
