"q9","Have you experienced any side effects from using cannabis? Please select all that apply","n =  78"
"response","count","percent_responded"
"Dry mouth","49","62.82"
"Sleepiness/fatigue","25","32.05"
"Changes in appetite","23","29.49"
"More or less talkative","20","25.64"
"Memory problems","16","20.51"
"Difficultly concentrating","12","15.38"
"Increased energy","12","15.38"
"Anxiety","10","12.82"
"Heart racing/palpitations","10","12.82"
"Tough to get started in the morning (lassitude)","10","12.82"
"Experienced no side effects","9","11.54"
"Paranoia","8","10.26"
"Changes in libido","7","8.97"
"Feeling of being ""altered""","7","8.97"
"Racing thoughts","6","7.69"
"Other (please specify)","4","5.13"
"Apathy","2","2.56"
"Dizziness","2","2.56"
"Headache","2","2.56"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","2","2.56"
"GI changes (e.g. constipation, diarrhea, abdominal discomfort)","1","1.28"
"Nausea","1","1.28"
"Sweating","1","1.28"
