"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  98"
"response","count","percent_responded"
"Chronic pain","91","92.86"
"Anxiety","58","59.18"
"Depression","54","55.1"
"Posttraumatic stress disorder (PTSD)","47","47.96"
"Arthritis","40","40.82"
"Insomnia","35","35.71"
"Gastrointestinal/digestive system disorders","15","15.31"
"Hypertension","12","12.24"
"Attention deficit/hyperactivity disorder (ADHD)","10","10.2"
"Fibromyalgia/myositis","10","10.2"
"Other (please specify)","10","10.2"
"Substance abuse/addiction","9","9.18"
"Diabetes","8","8.16"
"Cancer","7","7.14"
"Inflammatory bowel disease (IBD)","7","7.14"
"Bipolar/manic depression","6","6.12"
"Reflux esophagitis","6","6.12"
"Cardiovascular disease","3","3.06"
"Respiratory problems","3","3.06"
"Allergies","2","2.04"
"HIV/AIDS","2","2.04"
"Obesity","2","2.04"
"Alzheimer's","1","1.02"
"Epilepsy","1","1.02"
"Multiple sclerosis","1","1.02"
