"q11","How do you prefer to use cannabis? Please select all that apply.","n =  269"
"response","count","percent_responded"
"Smoke flower","203","75.46"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","158","58.74"
"Vape cartridges","155","57.62"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","101","37.55"
"Vape flower","85","31.6"
"Tinctures","74","27.51"
"Salves/topicals","50","18.59"
"Capsules","25","9.29"
"Transdermal patches","11","4.09"
"Other (please specify)","4","1.49"
"Suppositories","2","0.74"
