"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  384"
"response","count","percent_responded"
"Burn Pits","130","33.85"
"I was not exposed to any of these","109","28.39"
"Asbestos","99","25.78"
"Specific Environmental Hazards","69","17.97"
"Agent Orange","46","11.98"
"Gulf war illness","42","10.94"
"Other (please specify)","36","9.38"
"Radiation Exposure","36","9.38"
"contaminated drinking water at camp Lejelune","29","7.55"
"Gulf war illness in Afghanistan","13","3.39"
"Children having birth defects like Spina Bifida","7","1.82"
"Contact with mustard gas or lewisite","7","1.82"
"Project 112/SHAD","1","0.26"
