"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  284"
"response","count","percent_responded"
"Depression/mood","198","69.72"
"Sleep/insomnia","186","65.49"
"Pain","172","60.56"
"Anxiety/panic attacks","157","55.28"
"Attention/concentration","106","37.32"
"Appetite/weight","94","33.1"
"Aggression","88","30.99"
"Inflammation","81","28.52"
"Headache","77","27.11"
"Spasms","57","20.07"
"Nausea/vomiting","38","13.38"
"Skin conditions","30","10.56"
"Other (please specify)","16","5.63"
"Respiratory","16","5.63"
"Mania/psychosis","14","4.93"
"Ocular pressure","13","4.58"
"Drug withdrawal","5","1.76"
"Seizures","5","1.76"
