"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  266"
"response","count","percent_responded"
"Anxiety","205","77.07"
"Chronic pain","186","69.92"
"Depression","182","68.42"
"Posttraumatic stress disorder (PTSD)","168","63.16"
"Insomnia","112","42.11"
"Arthritis","76","28.57"
"Attention deficit/hyperactivity disorder (ADHD)","34","12.78"
"Gastrointestinal/digestive system disorders","34","12.78"
"Substance abuse/addiction","31","11.65"
"Other (please specify)","29","10.9"
"Bipolar/manic depression","25","9.4"
"Inflammatory bowel disease (IBD)","23","8.65"
"Hypertension","22","8.27"
"Fibromyalgia/myositis","14","5.26"
"Allergies","9","3.38"
"Reflux esophagitis","9","3.38"
"Respiratory problems","8","3.01"
"Cancer","6","2.26"
"HIV/AIDS","5","1.88"
"Obesity","5","1.88"
"Cardiovascular disease","4","1.5"
"Eczema","3","1.13"
"Alzheimer's","2","0.75"
"Diabetes","1","0.38"
"Epilepsy","1","0.38"
"Multiple sclerosis","1","0.38"
