"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  98"
"response","count","percent_responded"
"Money to purchase products","59","60.2"
"Access to the right products","39","39.8"
"Money required to get medical card","32","32.65"
"Stigma","30","30.61"
"Owning a firearm","29","29.59"
"Place to consume cannabis","22","22.45"
"Workplace testing or other policies","18","18.37"
"Lack of knowledge","14","14.29"
"Other (please specify)","11","11.22"
"Previous bad experience","2","2.04"
