"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  133"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","45","33.83"
"I have reduced my prescription medication use in the past","42","31.58"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","40","30.08"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","34","25.56"
"Muscle relaxants","29","21.8"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","28","21.05"
"Anti-inflammatories","26","19.55"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","21","15.79"
"I don’t take any medications","19","14.29"
"I'm not trying to reduce any medication use","14","10.53"
"Other (please specify)","11","8.27"
"Antimigraine","9","6.77"
"Sedatives/hypnotics","8","6.02"
"Steroids, including steroid creams","7","5.26"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","7","5.26"
"Antihypertensives","6","4.51"
"Antipsychotics (e.g. Abilify, Seroquel)","5","3.76"
"Antiemetics","4","3.01"
"Barbiturates (e.g. Floricet)","4","3.01"
"Statins (e.g. Lipitor, Crestor)","4","3.01"
"Beta Blockers","3","2.26"
"Insulin","3","2.26"
"Hormone replacement therapy (HRT)","2","1.5"
"Proton pump inhibitors","1","0.75"
