"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  148"
"response","count","percent_responded"
"Chronic pain","109","73.65"
"Arthritis","85","57.43"
"Depression","85","57.43"
"Anxiety","84","56.76"
"Posttraumatic stress disorder (PTSD)","79","53.38"
"Insomnia","49","33.11"
"Hypertension","43","29.05"
"Allergies","42","28.38"
"Gastrointestinal/digestive system disorders","37","25"
"Diabetes","33","22.3"
"Other (please specify)","32","21.62"
"Respiratory problems","32","21.62"
"Reflux esophagitis","30","20.27"
"Cancer","23","15.54"
"Obesity","23","15.54"
"Cardiovascular disease","22","14.86"
"Attention deficit/hyperactivity disorder (ADHD)","16","10.81"
"Eczema","15","10.14"
"Inflammatory bowel disease (IBD)","15","10.14"
"Fibromyalgia/myositis","14","9.46"
"Substance abuse/addiction","11","7.43"
"Bipolar/manic depression","6","4.05"
"Epilepsy","2","1.35"
"HIV/AIDS","1","0.68"
"Multiple sclerosis","1","0.68"
