"q10","Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.","n =  170"
"response","count","percent_responded"
"Anxiolytics/Benzodiazepines","170","100"
"Antidepressants","77","45.29"
"NSAID/non-opioid analgesics","63","37.06"
"Muscle relaxants","61","35.88"
"Narcotics/opioids","60","35.29"
"Sedatives/hypnotics","40","23.53"
"Antimigraine","27","15.88"
"Antipsychotics","22","12.94"
"Anti-convulsants","14","8.24"
"Other (please specify)","12","7.06"
"Proton pump inhibitors","10","5.88"
"Other (please specify below)","9","5.29"
"Not actively trying to reduce medication Intake","4","2.35"
