"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  320  avg =  101.403"
"response","count","percent_responded"
"0","148","46.25"
"30","20","6.25"
"10","13","4.06"
"400","12","3.75"
"150","11","3.44"
"200","11","3.44"
"100","10","3.12"
"20","10","3.12"
"40","9","2.81"
"50","8","2.5"
"300","7","2.19"
"25","5","1.56"
"350","4","1.25"
"500","4","1.25"
"60","4","1.25"
"250","3","0.94"
"700","3","0.94"
"75","3","0.94"
"8","3","0.94"
"1","2","0.62"
"15","2","0.62"
"16","2","0.62"
"45","2","0.62"
"55","2","0.62"
"600","2","0.62"
"70","2","0.62"
"80","2","0.62"
"800","2","0.62"
"1000","1","0.31"
"1200","1","0.31"
"1400","1","0.31"
"1500","1","0.31"
"180","1","0.31"
"2000","1","0.31"
"24","1","0.31"
"35","1","0.31"
"44","1","0.31"
"440","1","0.31"
"46","1","0.31"
"5","1","0.31"
"7","1","0.31"
"900","1","0.31"
