Q#29,"What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?",,,
,,,Average,55.62831858
id,response,,,
11250741921,100,,,
11238671751,100,,,
11211717848,100,,,
11208627585,100,,,
11135151906,100,,,
11135087208,100,,,
11135054557,100,,,
11134769709,100,,,
11134478610,100,,,
11045739846,100,,,
11034650778,100,,,
10886185272,100,,,
10875529110,100,,,
10875503972,100,,,
10867810520,100,,,
10867615622,100,,,
10859949104,100,,,
10858082192,100,,,
10856302482,100,,,
10849214021,100,,,
10847042681,100,,,
10847010995,100,,,
10846997868,100,,,
10844360022,100,,,
10843842634,100,,,
10843803790,100,,,
10840899449,100,,,
10833417544,100,,,
10832224616,100,,,
10832168862,100,,,
10832133946,100,,,
10832123166,100,,,
10685325930,100,,,
10675806972,100,,,
10668312322,100,,,
10660294275,100,,,
10658741910,100,,,
10598122285,100,,,
10581447651,100,,,
10572546454,100,,,
10569704133,100,,,
11213907729,100,,,
10632389881,100,,,
10593527279,100,,,
10699810522,100,,,
10880798060,100,,,
10877375002,100,,,
10677560387,100,,,
10669140575,100,,,
10908463163,100,,,
11138400653,100,,,
10602936383,100,,,
10575282159,100,,,
10835384840,100,,,
10688508584,100,,,
11248164514,100,,,
11212784708,100,,,
11136832253,100,,,
11134691787,100,,,
10994464098,100,,,
10844213348,100,,,
10843799997,100,,,
10832451640,100,,,
10756966241,100,,,
10609850764,100,,,
10581940017,100,,,
10719755952,100,,,
10686658652,100,,,
11241395977,100,,,
11249989922,100,,,
11181279818,100,,,
11135054998,100,,,
10877194985,100,,,
10875944995,100,,,
10875562577,100,,,
10857243738,100,,,
10847312529,100,,,
10843917537,100,,,
10843819934,100,,,
10842054674,100,,,
10835639035,100,,,
10581933788,100,,,
11249860217,100,,,
11135389919,100,,,
10875617011,100,,,
11148362084,100,,,
11141027225,100,,,
11064360862,100,,,
10892190679,100,,,
10877478788,100,,,
10874749577,100,,,
10833997993,100,,,
10647255505,100,,,
11250243595,100,,,
11238077963,100,,,
11215559561,100,,,
11134526749,100,,,
11033502369,100,,,
10887363314,100,,,
10676786628,100,,,
10659841121,100,,,
10575878347,100,,,
10684698263,100,,,
10844260968,100,,,
11142252658,100,,,
10847038072,100,,,
10832233224,100,,,
10662496256,100,,,
11072705197,100,,,
10876392009,100,,,
10568865766,100,,,
10978063065,100,,,
10893671348,100,,,
10846990356,100,,,
10834379529,100,,,
11014798443,100,,,
10855896441,100,,,
10842274754,100,,,
10841050682,100,,,
10837056649,100,,,
10589179962,100,,,
10900800324,100,,,
10834332090,100,,,
10834249218,100,,,
10682649508,100,,,
11140621270,100,,,
11036310394,100,,,
10849691686,100,,,
10847253946,100,,,
10831865696,100,,,
10706606981,100,,,
10887410730,100,,,
10890414342,100,,,
10675097210,100,,,
11249871277,100,,,
11248164514,100,,,
11239077222,100,,,
11231679765,100,,,
11212784708,100,,,
11138930846,100,,,
11136832253,100,,,
11134932854,100,,,
11134691787,100,,,
11064470565,100,,,
11044478649,100,,,
11003496788,100,,,
10875696093,100,,,
10872986638,100,,,
10864900624,100,,,
10849691686,100,,,
10843259075,100,,,
10843006971,100,,,
10842054674,100,,,
10833997993,100,,,
10832404058,100,,,
10832270581,100,,,
10832206360,100,,,
10831686982,100,,,
10764443236,100,,,
10691181667,100,,,
10670361680,100,,,
10662496256,100,,,
10579927077,100,,,
10577642085,100,,,
10575226552,100,,,
10570146744,100,,,
11009295893,100,,,
10628926943,100,,,
10868495105,100,,,
10832128566,99,,,
10671862630,99,,,
10831181023,99,,,
10870148985,99,,,
10624147163,99,,,
10844236012,99,,,
10832012122,99,,,
11248704898,99,,,
10847038072,99,,,
10864851918,98,,,
11054783496,98,,,
10956719648,97,,,
10867323115,97,,,
10758288741,94,,,
10875993925,93,,,
11134452367,93,,,
10844291789,93,,,
11009295893,92,,,
10832483530,92,,,
10843795703,92,,,
11249911719,90,,,
11137664485,90,,,
11062634752,90,,,
10872582813,90,,,
10840178037,90,,,
10685524216,90,,,
10658577550,90,,,
11170278059,90,,,
10598807297,90,,,
10847199598,90,,,
10875473988,90,,,
10860704252,90,,,
10615243125,90,,,
10847317503,90,,,
11135466512,90,,,
10593696728,90,,,
11161813510,90,,,
10875458883,90,,,
11150766346,90,,,
11148900374,90,,,
11134769709,90,,,
11061509902,90,,,
10877478788,90,,,
10844223289,90,,,
10842274754,90,,,
10831623393,90,,,
10575878347,90,,,
10719755952,90,,,
10632499407,87,,,
11135990132,81,,,
10822621750,81,,,
11238774708,80,,,
11135238481,80,,,
11135136344,80,,,
11003496788,80,,,
10952093942,80,,,
10844664050,80,,,
10622925288,80,,,
10577144137,80,,,
10575479401,80,,,
10868096498,80,,,
10596131278,80,,,
10974652472,80,,,
11238685800,80,,,
10600284760,80,,,
10583058257,80,,,
11226611149,80,,,
10822544735,80,,,
10579646891,80,,,
10832233395,80,,,
10831931418,80,,,
10577642085,80,,,
10716623034,80,,,
10972364151,80,,,
10566297731,80,,,
10834149798,80,,,
10580153046,80,,,
10877416704,80,,,
10671153091,80,,,
10658649988,80,,,
10581933788,80,,,
11236750096,75,,,
10852545455,75,,,
10875696093,75,,,
10570146744,74,,,
11134508380,70,,,
11134504342,70,,,
10878422887,70,,,
10876604101,70,,,
10872649413,70,,,
10865633390,70,,,
10667582585,70,,,
10618149896,70,,,
10614375447,70,,,
10760373939,70,,,
10876001530,70,,,
11061509902,70,,,
10932820377,70,,,
11027692007,70,,,
10843810346,70,,,
10582003543,70,,,
11111974827,70,,,
10875479466,70,,,
11135212674,70,,,
11134443636,70,,,
11050438627,70,,,
10847737322,70,,,
11166535497,70,,,
11249832802,70,,,
11166997346,70,,,
11135849827,70,,,
11134698105,70,,,
10893671348,70,,,
10864944007,70,,,
10845744369,70,,,
10822875373,70,,,
10569280747,70,,,
11179999382,67,,,
10900800324,64,,,
11249421052,60,,,
11238558967,60,,,
11134932854,60,,,
11065479544,60,,,
10877565497,60,,,
10849354793,60,,,
10833532176,60,,,
10830882008,60,,,
10580341387,60,,,
10578271769,60,,,
10977935510,60,,,
11135778856,60,,,
10581017097,60,,,
11239041530,60,,,
10667384979,60,,,
10822875373,60,,,
10716518478,60,,,
11102541656,60,,,
10686863888,60,,,
11134572563,60,,,
11238558967,60,,,
10864052390,60,,,
10847006667,60,,,
10840178037,60,,,
10575471607,60,,,
10716623034,60,,,
10875526461,53,,,
10856437127,51,,,
11239077222,51,,,
10893153651,50,,,
10878214093,50,,,
10847826329,50,,,
10836382971,50,,,
10834416742,50,,,
10632499407,50,,,
10626251939,50,,,
10860535252,50,,,
10583372838,50,,,
11044478649,50,,,
10847042555,50,,,
11064342543,50,,,
11062688483,50,,,
10859079118,50,,,
11249832802,50,,,
11138361963,50,,,
11062688483,50,,,
10834249218,50,,,
10832233224,50,,,
10831948698,50,,,
10595615049,50,,,
10831893906,49,,,
11134647286,49,,,
10580913646,49,,,
10834379529,48,,,
10861388917,47,,,
10836330737,43,,,
10831948842,40,,,
10604065323,40,,,
11044680699,40,,,
11134451924,40,,,
10876876072,40,,,
11141987359,40,,,
10843000999,40,,,
11135727852,40,,,
11241251752,40,,,
10847964940,40,,,
10575226552,40,,,
10667398958,40,,,
10975405385,31,,,
10875511603,30,,,
10850929741,30,,,
10758753382,30,,,
10585520406,30,,,
10572540138,30,,,
11076823569,30,,,
10575274340,30,,,
10843797483,30,,,
11136861481,30,,,
11135916791,30,,,
11030978965,30,,,
11134549629,30,,,
10867812743,30,,,
10749570344,30,,,
10658550964,30,,,
11050438627,28,,,
10607782752,23,,,
10833722328,22,,,
10593527279,22,,,
11135570279,20,,,
10884768912,20,,,
10843816117,20,,,
10659241585,20,,,
10888170961,20,,,
10974437681,20,,,
10875462742,20,,,
10767176517,20,,,
10566881623,20,,,
10681003613,20,,,
10877788133,20,,,
10574111964,20,,,
10591451425,20,,,
11249911719,20,,,
11214928564,20,,,
10902224469,18,,,
10833972658,14,,,
10875507777,11,,,
11135411524,10,,,
10892827041,10,,,
10885623844,10,,,
10878751296,10,,,
10876510380,10,,,
10872131442,10,,,
10833790283,10,,,
10665891738,10,,,
10660833205,10,,,
10583893598,10,,,
11057923056,10,,,
10832200410,10,,,
10877606410,10,,,
10847172551,10,,,
10843006971,10,,,
10658550964,10,,,
10605637047,10,,,
11249871277,10,,,
11166893092,10,,,
10877416704,10,,,
11134926998,10,,,
10847177434,10,,,
11129003813,10,,,
11054783496,10,,,
10844069184,10,,,
11135476295,9,,,
10583000127,9,,,
10835578531,6,,,
10576876213,6,,,
11249491628,6,,,
11232533197,5,,,
