"q5","What is the primary health condition for which you find cannabis to be helpful or most impactful? Please select one.","n =  279"
"response","count","percent_responded"
"Chronic pain","96","34.41"
"Anxiety","76","27.24"
"Depression/mood","43","15.41"
"Post-Traumatic Stress Disorder (PTSD)","24","8.6"
"Other (please specify)","15","5.38"
"Insomnia","9","3.23"
"Inflammatory Bowel Disease (IBD)","6","2.15"
"Arthritis","5","1.79"
"Nausea/vomiting","3","1.08"
"Attention Deficit/Hyperactivity Disorder (ADHD)","1","0.36"
"HIV/AIDS","1","0.36"
