"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  419"
"response","count","percent_responded"
"Depression/mood","286","68.26"
"Sleep/insomnia","277","66.11"
"Pain","256","61.1"
"Anxiety/panic attacks","242","57.76"
"Attention/concentration","158","37.71"
"Aggression","139","33.17"
"Appetite/weight","132","31.5"
"Headache","129","30.79"
"Inflammation","121","28.88"
"Spasms","92","21.96"
"Nausea/vomiting","51","12.17"
"Skin conditions","45","10.74"
"Respiratory","33","7.88"
"Ocular pressure","24","5.73"
"Other (please specify)","23","5.49"
"Mania/psychosis","15","3.58"
"Drug withdrawal","8","1.91"
"Seizures","7","1.67"
