"q52","What questions regarding cannabis did we not ask that are important to you?","n =  1245"
"response","count","percent_responded"
"None","232","18.63"
"none","118","9.48"
"N/A","52","4.18"
"n/a","33","2.65"
"None ","31","2.49"
"N/a","27","2.17"
"Nothing","18","1.45"
"Na","15","1.2"
"Not sure","11","0.88"
"Nothing ","9","0.72"
"na","8","0.64"
"None.","7","0.56"
"not sure","6","0.48"
"Can't think of any","5","0.4"
"Can't think of any.","4","0.32"
"None that I can think of","4","0.32"
"Not sure ","4","0.32"
"idk","3","0.24"
"No","3","0.24"
"none ","3","0.24"
"None  ","3","0.24"
"None that I can think of.","3","0.24"
"Nothing I can think of","3","0.24"
"all good","2","0.16"
"can't think of any","2","0.16"
"Can't think of anything","2","0.16"
"Can’t think of any","2","0.16"
"Can’t think of any ","2","0.16"
"n\a","2","0.16"
"Na ","2","0.16"
"No e","2","0.16"
"none  ","2","0.16"
"nothing","2","0.16"
"Nothing I can think of.","2","0.16"
"Nothing.","2","0.16"
"Price","2","0.16"
"Pricing","2","0.16"
"1) How may I find employment in this growing industry?    2) Will there be training for skilled labor positions (such as kitchen or Lab work) in the industry?","1","0.08"
"A group or message board where I can learn more from people nearby","1","0.08"
"About medical card","1","0.08"
"about my sustained and maintenance care regarding opiate addiction recovery. Survey focuses only on patients who are ""trying it"" ... I've been succeeding for the past 3 years. The information regarding the continued care in this area of recovery that is not ""NEW""OR ""TRYING"" ... but actually succeeding, (questions about ""sustaining success,"" etc)","1","0.08"
"Accepting payments in XLM, XRP, ETH BCH, BTC.","1","0.08"
"Accessibility of retail; questions related to social equity, big business, environmental impact","1","0.08"
"activities enjoyed while medicated","1","0.08"
"Add FECO to list of products used.","1","0.08"
"Advertising","1","0.08"
"Al were good","1","0.08"
"alcohol consumption, when / where do you tend to consume (ie. does that make you a social user?), use of other substance I drugs (ie. is marijuana a gateway), did you start using marijuana before or after you began to drink alcohol regularly? do you use e-cigarettes? do you smoke cigarettes?","1","0.08"
"All","1","0.08"
"All answered ","1","0.08"
"All good","1","0.08"
"All great questions.","1","0.08"
"ALL OF THEM","1","0.08"
"All references seem to be dispensary or budtender based.  Maybe ask how many are using private caregivers and the quality we offer.","1","0.08"
"All seemed to be covered","1","0.08"
"All where","1","0.08"
"Am i a parent. ","1","0.08"
"Am i interested in stronger strains for sleep, relaxation, depression help?  Yes.","1","0.08"
"any Changes you believe can be made to better reform marijuana laws or dispensary’s price , how they are run, etc. any changes that can be made that can better this new cannabis market ","1","0.08"
"Are the patients' needs being met satisfactorily by the supply of dispensaries (No, more demand than available supply)","1","0.08"
"Are there social benefits that cannabis can offer people?","1","0.08"
"Are we satisfied with cannabis legislation at the state or local level","1","0.08"
"are you aware that wax or certain concentrates can ignite on fire if smoked with a pipe?","1","0.08"
"Are you using cannabis to seek relief without a high?  Or, do you have to be high to achieve medical relief?  Or, how important is getting relief without a high to you?  The dosing question should separate THC amount from CBD amount because the total number of cannabinoids is misleading. For example, my daily use is 100mg total, 80CBD 20THC. This put me in high usage category but I don't get high.   A question on how knowledgable friends and family are about cannabis would give a broader understanding of market knowledge.   Where would you prefer to gain knowledge about cannabis could reveal a need for unrealized sources?  Asking more specific questions on pricing of products would reveal the how wide the price range is in the market, i.e. price per mg of each method used. ","1","0.08"
"Are your healcare providers knowledgeable about the specifics of medicinal cannabis use? Not at all!","1","0.08"
"Aroma ","1","0.08"
"As someone who has moved out of state, I would love comparisons made between our flower to say, Colorado or California. I have tried a lot that Massachusetts has had to offer and it just seems to continually fall short. ","1","0.08"
"asd","1","0.08"
"ask whether or not patient wants to feel psychoactive effect or whether that is a problem. ","1","0.08"
"Awareness of medical benefits","1","0.08"
"Balance of CBD to THC","1","0.08"
"Bask","1","0.08"
"Believe you've covered it all in this survey","1","0.08"
"Black market influence, pricing, spectrum of choices, etc. ","1","0.08"
"c","1","0.08"
"Can't remember now","1","0.08"
"can't think of any ","1","0.08"
"Can't think of any ","1","0.08"
"Can't think of any right now","1","0.08"
"Can't think of one","1","0.08"
"can't think of them right now","1","0.08"
"Can I have the right to protect myself with the 2nd amendment and still have my medicine? ","1","0.08"
"can I travel with my medication?","1","0.08"
"can not think of any ","1","0.08"
"Can we give you free cannabis products?","1","0.08"
"Can’t think of any at this moment ","1","0.08"
"Can’t think of anything right now ","1","0.08"
"Can’t think of one","1","0.08"
"Cannabis is calorie free compared to alcohol. Although many feel that cannabis increases appetite, do you feel that cannabis has actually helped you maintain a healthy body weight? (I do not feel that cannabis increases my appetite, and if anything, I feel I eat less since I have been enjoying the benefits of cannabis.","1","0.08"
"Cannabis is not required to be re-tested after extended periods of time at dispensaries. ","1","0.08"
"Cannot think of any at the moment","1","0.08"
"CBD","1","0.08"
"CBD and pets","1","0.08"
"CBD use in particular","1","0.08"
"certified professional help in selecting what is best for my conditions.","1","0.08"
"children consumption - when will that be a thing? for medicinal use of course","1","0.08"
"Clinical trials, the first of which should be how toxic is cannabis?","1","0.08"
"Common negative side effects, common positive side effects","1","0.08"
"Consider specifying differences in patterns of use related to medicinal use vs. recreation use. ","1","0.08"
"consistency of vape cartridges  ","1","0.08"
"Continued availability of educational materials or events to educate medical patients. ","1","0.08"
"Cost","1","0.08"
"Cost pricing","1","0.08"
"Cost....no one pays more for cannabis than Massachusetts mmj patients. Frustrating knowing the western part of the country pays just a fraction of the $ we do for the same product","1","0.08"
"Country wide pricing structure, the west Coast is 1/2 price of East Coast at this present time.","1","0.08"
"Covered everything ","1","0.08"
"covered it well","1","0.08"
"Current Legal ramifications ","1","0.08"
"Demographic information if people want to share- it's good to get a cross section of what type of people are using cannabis now, what careers they have, are they parents/students/ professionals etc.","1","0.08"
"Did you ask about terpene testing or was I just on my soapbox? If you want to gather more good information, add more fill-in boxes. ie. #53-54. I used recreationally when younger, but not much at all as a parent. Then I 'recreated' one evening after developing fibromyalgia and realized this is medicine! Now I use medicinally, and recreate on the occasional weekend. Much prefer cannabis to alcohol. I've done a lot of research & experimentation on it, and enjoy sharing that knowledge with friends and family. Taught a mature friend to smoke for the first time in her life. She now legally consumes regularly to significantly improve her fibro symptoms so she can keep working. Thank you for allowing me to participate in a medicinal cannabis survey without the prerequisite of medicating legally!","1","0.08"
"Did you ever consumed cannabis prior, illegally? and Where you still a regular pot smoker before discovering it as a medicinal tool?","1","0.08"
"Did you grow up in a family where Cannabis was used?","1","0.08"
"Dispensary employees need to understand which terpenes are good for different ailments.  ","1","0.08"
"do  you feel cannabis is more or less safe than alcohol. & i  would answer alcohol is far more dangerous & is the gateway drug to be concerned with. not cannabis","1","0.08"
"Do I prefer cannabis over pharmaceuticals?   Hell yes!","1","0.08"
"Do you believe that your primary care doctor believes in the stigma or will help you?","1","0.08"
"Do you feel any symptoms of addiction?  Do you regularly mix cannabis with alcohol or other drugs.  What recreational drugs do you take?","1","0.08"
"Do you feel comfortable consuming cannabis in your housing ?  ","1","0.08"
"Do you grow your own medical marijuana?","1","0.08"
"Do you know about the dry and cure process and how important it is?","1","0.08"
"Do you know anyone else with a medical card ","1","0.08"
"Do you know someone who grows","1","0.08"
"Do you know the difference between indica & sativa?","1","0.08"
"Do you know the dosage recommended to treat patient ailment based on patient profile and symptoms. (NO).  Is cannabis treatment resolving the targetted medical issue? (Not yet, small glimmer of resolution, but too much trial and error on dosing and no real answers from previous practices to follow).","1","0.08"
"Do you make any cannabis products for yourself?","1","0.08"
"Do you think cannabis has different effects on females vs. males ?","1","0.08"
"Do you think Medical Doctors need education related to marijuana ","1","0.08"
"Do you think that it’s unfair to have to worry about traveling with this medicine. It’s ok to have those opioids in your daily pill box or benzodiazepines but that cannabis is a issue when flying or traveling in general. ","1","0.08"
"Do you think the individual states with legalized cannabis will get over their greed and cut taxes?","1","0.08"
"Do you think the US government should actively increase research into the medical benefits of cannabis? Do you think that the federal government discriminates against people of color/people with drug-related criminal histories? (YES)","1","0.08"
"Do you think there should be public smoking establishments? Example- lounges/gyms","1","0.08"
"Do you use cannabis for your pets or a caretaker for loved ones","1","0.08"
"Do you want some?","1","0.08"
"Does cannabis affect your medical condition?","1","0.08"
"Does cannabis treat the symptoms you experience on a daily basis? ","1","0.08"
"Does it matter to you if it’s grown organically ","1","0.08"
"Does my spouse use cannabis? She doesn't. And anecdotally, I've come across a number of others in the community where this is also the case. ","1","0.08"
"Does your local dispensary provide currant lab test results including mold and pesticide levels ","1","0.08"
"Don't have any","1","0.08"
