"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  293"
"response","count","percent_responded"
"Smoke flower","219","74.74"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","187","63.82"
"Vape cartridges","161","54.95"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","121","41.3"
"Tinctures","97","33.11"
"Vape flower","80","27.3"
"Salves/topicals","70","23.89"
"Capsules","45","15.36"
"Transdermal patches","22","7.51"
"Other (please specify)","13","4.44"
"Suppositories","9","3.07"
