"q54","What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?","n =  148  avg =  69.784"
"response","count","percent_responded"
"100","69","46.62"
"0","24","16.22"
"99","7","4.73"
"75","5","3.38"
"97","5","3.38"
"50","4","2.7"
"1","3","2.03"
"4","3","2.03"
"85","3","2.03"
"98","3","2.03"
"2","2","1.35"
"25","2","1.35"
"80","2","1.35"
"95","2","1.35"
"15","1","0.68"
"19","1","0.68"
"33","1","0.68"
"5","1","0.68"
"51","1","0.68"
"6","1","0.68"
"61","1","0.68"
"65","1","0.68"
"7","1","0.68"
"81","1","0.68"
"87","1","0.68"
"90","1","0.68"
"91","1","0.68"
"96","1","0.68"
