"q41","What features are missing from your sources of information that you would like to see included?","n =  807"
"response","count","percent_responded"
"None","76","9.42"
"none","41","5.08"
"N/A","27","3.35"
"n/a","22","2.73"
"Not sure","21","2.6"
"N/a","20","2.48"
"Nothing","18","2.23"
"None ","11","1.36"
"not sure","10","1.24"
"nothing","9","1.12"
"Na","8","0.99"
"na","6","0.74"
"Not sure ","6","0.74"
"Nothing ","6","0.74"
"unsure","6","0.74"
"Price","4","0.5"
"prices","4","0.5"
"Deals","3","0.37"
"Don’t know","3","0.37"
"More strains","3","0.37"
"Unsure","3","0.37"
"I'd like a helpful newsletter from BASK.","2","0.25"
"i don't know","2","0.25"
"I don't know","2","0.25"
"idk","2","0.25"
"Idk","2","0.25"
"Menus","2","0.25"
"Nada","2","0.25"
"None I can think of","2","0.25"
"None.","2","0.25"
"Pictures","2","0.25"
"Prices","2","0.25"
"Regular updates sometime","2","0.25"
"360 product pics","1","0.12"
"a list of symptoms or diseases strains are helpful for","1","0.12"
"a lot of people are unaware of the extra $50 app fee(can be waved with Mass Health). They also don't realize that medical marijuana isn't taxed.","1","0.12"
"A medical card","1","0.12"
"a site that provides accurate up to the minute state status on all the states and what is legal and what is not. States change things all the time, and looking for real time.  Ohio just changed their Hemp CBD law - I was clueless, and I am a Practitioner!","1","0.12"
"a step by step learning process for beginners that want relief without a high","1","0.12"
"a wishlist/shopping list, and a way to save your favorite items","1","0.12"
"aaa","1","0.12"
"Ability to get products from other states","1","0.12"
"Accept other payment forms ","1","0.12"
"Accuracy","1","0.12"
"accuracy with strain information","1","0.12"
"Accurate genetics","1","0.12"
"Accurate in stock items","1","0.12"
"accurate inventory at dispensaries","1","0.12"
"Accurate percentage ","1","0.12"
"Accurate percentages","1","0.12"
"Accurate percentages of more cannabinoids ","1","0.12"
"Accurate product testing, plant genetics/lineage/strain history","1","0.12"
"Actual rigorous medical research on benefits and harm of marijuana ","1","0.12"
"Actually science based information","1","0.12"
"adverse effect information","1","0.12"
"All dispensary tests results should include terpene profile. Period!","1","0.12"
"All good","1","0.12"
"Always indica sariva percentage","1","0.12"
"Anything new","1","0.12"
"As","1","0.12"
"assistance in obtaining mmj card","1","0.12"
"Availability","1","0.12"
"Average price","1","0.12"
"Average price ","1","0.12"
"avg cost","1","0.12"
"beginner info","1","0.12"
"Best sources","1","0.12"
"bette local information ","1","0.12"
"Better care for disabled and veterans who are low income","1","0.12"
"Better information about states other than CA, OR, WA, AZ, CO","1","0.12"
"Better information on strains when purchasing seeds online ","1","0.12"
"Better inventory of what local dispensary has","1","0.12"
"Better menus ","1","0.12"
"Better quality","1","0.12"
"Better reporting of cannabinoids and terpenes levels. Date of harvest and where grown","1","0.12"
"better strain genetics, average testing % and deeper info","1","0.12"
"Better user based feedback.","1","0.12"
"books","1","0.12"
"Breakdown Comparison of one strain to another ","1","0.12"
"Bud history","1","0.12"
"Caffeine on edibles ","1","0.12"
"can't think of any","1","0.12"
"Can't think of any","1","0.12"
"Can't think of anything","1","0.12"
"Can’t think of any","1","0.12"
"Can’t think of any ","1","0.12"
"Cancer specialist ","1","0.12"
"Cannabinoid ranges and regional availability/hardiness statistics ","1","0.12"
"Cannabinoids, Terpenes","1","0.12"
"Cannabis as food/nutrition (not ""drug"", not ""medicine"")","1","0.12"
"Cannabis science: terpenes and cannabinoids for medicine","1","0.12"
"case studies, dosages for ailments and patient profiles","1","0.12"
"Cases of fraud and pesticides ","1","0.12"
"CBD related","1","0.12"
"CBD vs THC effects","1","0.12"
"CBG info","1","0.12"
"Charts showing mg to dose equivalents","1","0.12"
"Clear thc, cbd cannanoids,terpenes, heritage charts","1","0.12"
"coming soon and upcoming specials","1","0.12"
"Coming soon products ","1","0.12"
