"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  391"
"response","count","percent_responded"
"Chronic pain","157","40.15"
"Posttraumatic stress disorder (PTSD)","98","25.06"
"Anxiety","39","9.97"
"Depression","25","6.39"
"Insomnia","23","5.88"
"Arthritis","12","3.07"
"Cancer","6","1.53"
"Bipolar/manic depression","5","1.28"
"Hypertension","5","1.28"
"Fibromyalgia/myositis","4","1.02"
"Attention deficit/hyperactivity disorder (ADHD)","3","0.77"
"Gastrointestinal/digestive system disorders","3","0.77"
"Multiple sclerosis","3","0.77"
"Cardiovascular disease","2","0.51"
"Diabetes","2","0.51"
"HIV/AIDS","2","0.51"
"Substance abuse/addiction","2","0.51"
