"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  174"
"response","count","percent_responded"
"Chronic pain","56","32.18"
"Posttraumatic stress disorder (PTSD)","47","27.01"
"Anxiety","20","11.49"
"Depression","14","8.05"
"Bipolar/manic depression","6","3.45"
"Insomnia","6","3.45"
"Arthritis","5","2.87"
"Cancer","5","2.87"
"Gastrointestinal/digestive system disorders","5","2.87"
"Diabetes","2","1.15"
"Obesity","2","1.15"
"Respiratory problems","2","1.15"
"Substance abuse/addiction","2","1.15"
"Cardiovascular disease","1","0.57"
"Hypertension","1","0.57"
