"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  78  avg =  84.936"
"response","count","percent_responded"
"0","37","47.44"
"150","6","7.69"
"100","5","6.41"
"10","4","5.13"
"250","3","3.85"
"30","3","3.85"
"25","2","2.56"
"500","2","2.56"
"1000","1","1.28"
"125","1","1.28"
"15","1","1.28"
"16","1","1.28"
"180","1","1.28"
"20","1","1.28"
"300","1","1.28"
"40","1","1.28"
"46","1","1.28"
"50","1","1.28"
"55","1","1.28"
"60","1","1.28"
"600","1","1.28"
"700","1","1.28"
"8","1","1.28"
"80","1","1.28"
