"q21","What products/strains do you want that are not currentlyt available in your local dispensaries?","n =  230"
"response","count","percent_responded"
"None","12","5.22"
"N/a","6","2.61"
"N/A","6","2.61"
"none","5","2.17"
"None ","3","1.3"
"Not sure","3","1.3"
"Charlottes web","2","0.87"
"don't know","2","0.87"
"Harlequin ","2","0.87"
"More 10 and 20 mg lozenges","2","0.87"
"1-2 mg THC gummies","1","0.43"
"1 to 1 through 2 to 1 THC to CBD strains","1","0.43"
"acapulco gold, strains from 50 years ago.  ","1","0.43"
"ACDC","1","0.43"
"ACDC, Harlequin, Cannatonic, 9Ib Hammer, Blackberry Kush, Purple Arrow, Blue Widow, Cataract Kush,  Mazar I Sharif ","1","0.43"
"ACDC, High CBD 2:1","1","0.43"
"Affordable edibles! ","1","0.43"
"Affordable product","1","0.43"
"afghan kush","1","0.43"
"All","1","0.43"
"all are from LP's in Canada","1","0.43"
"All of the strains in answer 17.","1","0.43"
"Amnesia CBD Auto ","1","0.43"
"Amnesia Haze","1","0.43"
"Any hazes, pure sativas","1","0.43"
"Any high CBD strain or very balanced strains with a variety of cannabinoids rather than just high percent of THC","1","0.43"
"Avidekel","1","0.43"
"Be able to get the same strains repeatedly, varieties available change constantly","1","0.43"
"Better concentrate selection","1","0.43"
"Better edibles","1","0.43"
"Better tasting edibles","1","0.43"
"Black Triangle","1","0.43"
"Black triangle kush","1","0.43"
"Blissful wizard","1","0.43"
"Blue azure","1","0.43"
"Blue Cheese ","1","0.43"
"blue dream","1","0.43"
"Blue dream","1","0.43"
"Bruce Banner","1","0.43"
"Canna butter","1","0.43"
"Cannatonic","1","0.43"
"Cannatonic flower vape, TD patches","1","0.43"
"capsules","1","0.43"
"Caviar Prerolled Joints","1","0.43"
"Cbd capsules","1","0.43"
"CBD Salve, CBD Tinctures, CBD Bath Bombs (all low stock due to regulation)","1","0.43"
"Cbd tampons","1","0.43"
"Cbd/thc transdermal patch","1","0.43"
"Chad bud acapulco gold and creeper","1","0.43"
"Charlotte's Web","1","0.43"
"Charlotte's web, or any vape cartridges with higher CBD content","1","0.43"
"chewable THC/CBD, Charlotte's Web, many others","1","0.43"
"Chocolate Thai","1","0.43"
"Columbian Gold","1","0.43"
"Disolvable edibles","1","0.43"
"Don't know","1","0.43"
