"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  232"
"response","count","percent_responded"
"Pain","128","55.17"
"Sleep/insomnia","127","54.74"
"Anxiety/panic attacks","110","47.41"
"Depression/mood","97","41.81"
"Aggression","48","20.69"
"Inflammation","44","18.97"
"Attention/concentration","34","14.66"
"Headache","34","14.66"
"Appetite/weight","27","11.64"
"Spasms","23","9.91"
"Nausea/vomiting","19","8.19"
"Other (please specify)","12","5.17"
"Skin conditions","6","2.59"
"Ocular pressure","5","2.16"
"Drug withdrawal","4","1.72"
"Mania/psychosis","4","1.72"
"Respiratory","4","1.72"
"Seizures","1","0.43"
