"q14","What are the effects of your pain? (Please select all that apply)","n =  40"
"response","count","percent_responded"
"Mood","34","85"
"Physical activity","34","85"
"Sleep","34","85"
"Energy level","33","82.5"
"Enjoyment of life","33","82.5"
"Depression","31","77.5"
"Mobility","29","72.5"
"Concentration","28","70"
"Relationships with others","28","70"
"Household chores","27","67.5"
"Anxiety","26","65"
"Sexual functioning","24","60"
"Self esteem","23","57.5"
"Personal care","22","55"
"Memory","21","52.5"
"Appetite","18","45"
