"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  261"
"response","count","percent_responded"
"Burn Pits","81","31.03"
"I was not exposed to any of these","80","30.65"
"Asbestos","64","24.52"
"Specific Environmental Hazards","50","19.16"
"Agent Orange","23","8.81"
"Other (please specify)","22","8.43"
"Radiation Exposure","21","8.05"
"Gulf war illness","19","7.28"
"contaminated drinking water at camp Lejelune","17","6.51"
"Gulf war illness in Afghanistan","4","1.53"
"Children having birth defects like Spina Bifida","3","1.15"
"Contact with mustard gas or lewisite","3","1.15"
