"q41","What features are missing from your sources of information that you would like to see included?","n =  420"
"response","count","percent_responded"
"None","45","10.71"
"none","26","6.19"
"N/A","13","3.1"
"Not sure","10","2.38"
"Nothing","8","1.9"
"N/a","6","1.43"
"None ","6","1.43"
"Na","5","1.19"
"nothing","5","1.19"
"na","4","0.95"
"not sure","4","0.95"
"Nothing ","4","0.95"
"I don't know","3","0.71"
"n/a","3","0.71"
"idk","2","0.48"
"more individual strain info","2","0.48"
"Nih","2","0.48"
"Price","2","0.48"
"unsure","2","0.48"
"A better product/company description ","1","0.24"
"a lot of people are unaware of the extra $50 app fee(can be waved with Mass Health). They also don't realize that medical marijuana isn't taxed.","1","0.24"
"A more accurate understanding of the trace cannabinoids in the products available.","1","0.24"
"a step by step learning process for beginners that want relief without a high","1","0.24"
"Ability to get products from other states","1","0.24"
"Absolute levels and ratios of cbd, thc, cbdn, thca, cbda, terpenes etc","1","0.24"
"accuracy of info","1","0.24"
"Accurate percentage ","1","0.24"
"Accurate product testing, plant genetics/lineage/strain history","1","0.24"
"Accurate regional availability","1","0.24"
"Accurate specials","1","0.24"
"Actual rigorous medical research on benefits and harm of marijuana ","1","0.24"
"All good","1","0.24"
"Although most sites have a recommended dose for an ailment I would like to see more sites tell people to start with a low dose, 1mg. and slowly go up as symptoms inprove.","1","0.24"
"Anything new","1","0.24"
"avaiability","1","0.24"
"Availability of products","1","0.24"
"Average Price","1","0.24"
"Average price ","1","0.24"
"avg cost","1","0.24"
"Better care for disabled and veterans who are low income","1","0.24"
"Better inventory of what local dispensary has","1","0.24"
"Better menus ","1","0.24"
"Better quality","1","0.24"
"Better reporting of cannabinoids and terpenes levels. Date of harvest and where grown","1","0.24"
"Caffeine on edibles ","1","0.24"
"Can't think of anything","1","0.24"
"Can’t think of any","1","0.24"
"Cases of fraud and pesticides ","1","0.24"
"Charts showing mg to dose equivalents","1","0.24"
"Clone availability","1","0.24"
"coming soon and upcoming specials","1","0.24"
"Coming soon products ","1","0.24"
"Complete write up of strains","1","0.24"
"compound recipes for sx","1","0.24"
"Cost","1","0.24"
"Current products","1","0.24"
"Daily deals","1","0.24"
"Deals","1","0.24"
"Delivery ","1","0.24"
"Details on how to identify strains","1","0.24"
"Distance  to dispensery","1","0.24"
"Don't understand the question ","1","0.24"
"Don’t know","1","0.24"
"dont have good sources.  will try the ones you mentioned apps/websites","1","0.24"
"Dosage","1","0.24"
"Dosage help","1","0.24"
"Dosage information","1","0.24"
"Dosage, testing information, safety details, loyalty, strain and product tracking/dosage logging.","1","0.24"
"dosing","1","0.24"
"dosing and best ways to get the most benefit","1","0.24"
"dosing for anti cancer","1","0.24"
"Dry and Cure info","1","0.24"
"Each site has plus and minus.  Multiple sources are required to get a complete picture","1","0.24"
"Ease of finding strains. More medical info. ","1","0.24"
"easier correlation between dispensary menu and product reviews","1","0.24"
"Easier navigation of site on mobile ","1","0.24"
"Easy access to comparisons ","1","0.24"
"Enough info so far","1","0.24"
"Everything medical cannabis","1","0.24"
"Fact based truth in the medical community ","1","0.24"
"First time I have heard about this.","1","0.24"
"Free herb","1","0.24"
"Free samples","1","0.24"
"Free samples!","1","0.24"
"Full terpene profile","1","0.24"
"Growing advice","1","0.24"
"Growing help","1","0.24"
"Growing outdoors","1","0.24"
"Growth stages and more indepth strain specific growing journals for all strains ","1","0.24"
"hard to find the map of legal states","1","0.24"
"have not visited websites","1","0.24"
"Head Shop locator","1","0.24"
"Heavy Metal/Pesticide and Terpine lab tests from certified labs","1","0.24"
"Helpful ways to afford ","1","0.24"
"home processing of flower to topicals","1","0.24"
"How and how often","1","0.24"
"How exactly to use, as well as what to do if something unplanned for happens (like a coughing fit), for us neophytes!","1","0.24"
"how it affects large groups of people","1","0.24"
"How long effects last","1","0.24"
"How to figure formulation","1","0.24"
"How to identify different strains ","1","0.24"
"How to measure THC and CBD","1","0.24"
"How to micro dose ","1","0.24"
"How to save the most money ","1","0.24"
"hyperlinks to government laws on cannabis, views of lawmakers","1","0.24"
"I'd like a helpful newsletter from BASK.","1","0.24"
"I'd like to be able to research the local brands.","1","0.24"
"I'm satisfied with the amount of features present","1","0.24"
"I'm very informed ","1","0.24"
"I am a caregiver and in 98 I did 1 yr in jail n now want to get in the cannabis biz but would need help","1","0.24"
"I am happy with the sources info","1","0.24"
"I can not think of anything","1","0.24"
"I don't feel that Recreational shops are keen on folks who do not want to be high. Most seniors feel intimidated to enter pot shops, because it is over whelming...among other things.","1","0.24"
"I get all the info that I ask for. If my dispensary agent does not know, he will find someone who does.","1","0.24"
"I have a great dispensary","1","0.24"
"I have been an RN for 35 years. I hated pot. Tried it in High School. I was extremely reluctant to try it.  I had tried multiple pain meds including narcotics but they make me sick. I became so severely depressed that I had to be hospitalized. Marijuana has not only helped my pain,it has greatly improved my mood,my activity tolerance,and my sleep.","1","0.24"
"I never heard of any of the above until taking this survey!","1","0.24"
"I pretty much always find the information I am looking for...","1","0.24"
"I wish the online strain info had more feedback from medical users in addition to recreational users","1","0.24"
"I would like more specific medical info as related to cannabinoids and terpene profiles.  I would also like my Licences Providers (Canada) to be more knowledgeable in this area.  I have received better advice from non-Licensed dispensaries.","1","0.24"
"I’m not really sure","1","0.24"
"Ideal strains for particular conditions ","1","0.24"
"Idk","1","0.24"
"If any chemicals have been used to grow product ","1","0.24"
"If edibles are available in a limited stock (i.e., the dispensary does not make their own edible products and must rely on another dispensary or distributor for products.","1","0.24"
"Incoming stains? Maybe something to look forward to. ","1","0.24"
"indepent labs","1","0.24"
"Info about my state ","1","0.24"
"Info not always applicable to state that I live in","1","0.24"
"ingredients in everything! including papers on pre-rolls, which can have corn and gluten in them. Severe food allergies. Also, list pesticide and chemicals used on the plants. The use of non organic practices must be transparent, and there is also a concern with allergies to these chemicals.","1","0.24"
"Insa needs to put more info on menus","1","0.24"
"Jo","1","0.24"
"Job information ","1","0.24"
"Less descriptive re the high, more medical info","1","0.24"
"less emphasis on strain name and more emphasis and transparency re terpene profile","1","0.24"
"Local caregivers ancillary businesses social clubs community host agreements ","1","0.24"
"Local grower information to keep up with new strains.","1","0.24"
"Local Growers not just Dispensary","1","0.24"
"Local prices","1","0.24"
"Location of strain im looking for","1","0.24"
"Lower weed prices","1","0.24"
"Medical benefits ","1","0.24"
"Medical doctor references","1","0.24"
"Medical strain names differ from common names","1","0.24"
"More ailments listed to pair with a strain. ","1","0.24"
"More clinical studies","1","0.24"
"More clinical study links","1","0.24"
"More descriptions of medical benefits and side effects","1","0.24"
"More detailed info for new consumers","1","0.24"
"More detailed strain information ","1","0.24"
"more details on side effects","1","0.24"
"More direct brand patients education, facility tours and manufacturing processes, more education from testing labs","1","0.24"
"more easy to read ingredients ","1","0.24"
"More explanation about the product. Web pages are very vague","1","0.24"
"more exposure on twitter","1","0.24"
"More fear nformation on benefits of cannabis","1","0.24"
"More growing and management information ","1","0.24"
"More impartial science","1","0.24"
"More in depth articles on deficiencies ","1","0.24"
"More info about dosing","1","0.24"
"More info on CBD","1","0.24"
"More info on concentrates","1","0.24"
"more info on edibles","1","0.24"
"More info on extraction processes ","1","0.24"
"More info on tinctures and edible use ","1","0.24"
"more info on what strains work best for different ailments..and more info of you are sober","1","0.24"
"More information about nerve pain and what to use. So confusing. ","1","0.24"
"More information on supporting cannabinoids and terpenes. Most seem to focus on THC content, and according to a recent study THC (like opiates) only distracts you from pain. ","1","0.24"
"More information on what works best for specific medical issues/diagnosis from survey of other patients","1","0.24"
"more lab reports and analysis of cannabinoid profiles in every strain, the reliability of strains from state-to-state, some standardization of cannabinoid profiles and effects for treating various conditions","1","0.24"
"More local resources","1","0.24"
"More local reviews of product ","1","0.24"
"More medical info. Like the basic fact that CBD can interact with other drugs and meds. And how chemo patients have got to check with someone they know knows!","1","0.24"
"more medical information","1","0.24"
"More medical information","1","0.24"
"More medical information ","1","0.24"
"More pictures","1","0.24"
"More research","1","0.24"
"More Research","1","0.24"
"More research articles","1","0.24"
"More researched data on contraindications with other prescribed drugs and proven effectiveness with specific conditions such as IBS, arthritis, etc.","1","0.24"
"More samples","1","0.24"
"More science ","1","0.24"
"More scientific info regarding terpenoids ","1","0.24"
"more specific dosing , more specific information for various illnessess","1","0.24"
"more strain specific indications (ie, Best Anxiety strains, etc)","1","0.24"
