"q67","Which VA do you go to?","n =  268"
"response","count","percent_responded"
"None","9","3.36"
"N/A","7","2.61"
"n/a","5","1.87"
"none","4","1.49"
"Providence","4","1.49"
"Bedford ","3","1.12"
"Brockton MA","3","1.12"
"Leeds","3","1.12"
"Togus","3","1.12"
"Worcester","3","1.12"
"American Lake","2","0.75"
"Atlanta","2","0.75"
"Bedford","2","0.75"
"Boston","2","0.75"
"Boston JP","2","0.75"
"Brockton","2","0.75"
"Fitchburg ","2","0.75"
"Indianapolis ","2","0.75"
"Loma Linda ","2","0.75"
"Newington, CT","2","0.75"
"No","2","0.75"
"Northampton","2","0.75"
"Pittsburgh","2","0.75"
"Springfield Ma","2","0.75"
"West Roxbury","2","0.75"
" Brockton Massachusetts","1","0.37"
"Aht aht ","1","0.37"
"Alaska","1","0.37"
"Albany, NY","1","0.37"
"Albuquerque ","1","0.37"
"Asheville, NC","1","0.37"
"Baton Rouge","1","0.37"
"Bay Pines","1","0.37"
"Baypines Va","1","0.37"
"Beaumont TX","1","0.37"
"bedford","1","0.37"
"Bedford va medical ","1","0.37"
"Bedford, MA","1","0.37"
"Brockton, Ma","1","0.37"
"Brockton. Massachusetts","1","0.37"
"Campbell county  va","1","0.37"
"Central Western MA","1","0.37"
"Chalmers P. Wilie Ambulatory Care Center","1","0.37"
"Charleston VA weapons station ","1","0.37"
"Cheyenne","1","0.37"
"Cheyenne and Denver","1","0.37"
"Cincinnati VA","1","0.37"
"Cleveland","1","0.37"
"Colorado VA","1","0.37"
"columbia,sc","1","0.37"
"Conroe TX","1","0.37"
"DC VAMC","1","0.37"
"Denver ","1","0.37"
"Denver & Golden","1","0.37"
"Do not go to VA","1","0.37"
"Don’t ","1","0.37"
"Don’t use va","1","0.37"
"Dorn VA in Columbia, SC","1","0.37"
"Downtown Los Angeles ","1","0.37"
"Durham and Raleigh NC","1","0.37"
"El Paso, TX","1","0.37"
"Evansville ","1","0.37"
"Fayetteville AR","1","0.37"
"Fayetteville,Ar","1","0.37"
"Fitchburg","1","0.37"
"Fitchburg Outpatient Clinic","1","0.37"
"Florence,MA","1","0.37"
"Fort Myers Florida","1","0.37"
"Fresno, CA","1","0.37"
"Fresno.. which I will never return to adter they broke my rt collar bone 2 years ago and have covered it up since","1","0.37"
"Ft Worth,  tx","1","0.37"
"Ft. Harrison, MT","1","0.37"
"Ha ha","1","0.37"
"Hammond, La.","1","0.37"
"Hampton, Virginia","1","0.37"
"Harry S Truman VAMC Columbia, MO","1","0.37"
"Havent been in 5 years due to them not doing their jobs. refuse to go back","1","0.37"
"Hershell Woody. Huntington, va","1","0.37"
"Hilo Hawaii ","1","0.37"
"HOUSTON ","1","0.37"
"Huntington WV ","1","0.37"
"Huntsville AL","1","0.37"
"Hyannis CBOC","1","0.37"
"I avoid the VA. ","1","0.37"
"I do not use the va","1","0.37"
"I don't","1","0.37"
"I don't. ","1","0.37"
"I don’t go to the va anymore","1","0.37"
"I dont","1","0.37"
"I have private insurance. ","1","0.37"
"I still have to check in to the Las Cruces VA, I just moved here a year ago.","1","0.37"
"Jacksonville FL ","1","0.37"
"Jamaica plains","1","0.37"
"Jamaica Plains","1","0.37"
"Jamaica plian","1","0.37"
"James A Haley ","1","0.37"
"James Haley","1","0.37"
"Jefferson barracks ","1","0.37"
"Jefferson Barracks, MO","1","0.37"
"Kerrville, TX","1","0.37"
"La Jolla VAMC","1","0.37"
"Lakeland ","1","0.37"
"Leed's Northampton MA","1","0.37"
"Leeds ","1","0.37"
"LEEDS MA","1","0.37"
"Leeds, Springfield OPC","1","0.37"
"LITTLE ROCK","1","0.37"
"Loma 6","1","0.37"
"Loma linda","1","0.37"
"Loma Linda","1","0.37"
"Long Beach ","1","0.37"
"Louis Stokes","1","0.37"
"Manchester","1","0.37"
"Manchester NH","1","0.37"
"Manchester, NH","1","0.37"
"Marion","1","0.37"
"martinsburg","1","0.37"
"Martinsburg, West Virginia","1","0.37"
"Massachusetts VA hospital and clinics ","1","0.37"
"MCGUIRE VA MEDICAL CENTER","1","0.37"
"Minneapolis ","1","0.37"
"Mountain Home","1","0.37"
"Mountain Home TN","1","0.37"
"N/a","1","0.37"
"Na","1","0.37"
"Naples Fl","1","0.37"
"Nashville ","1","0.37"
"Nashville and Mather ","1","0.37"
"Nellis AFB","1","0.37"
"Never been","1","0.37"
"New Bedford and Providence ","1","0.37"
"New Philadelphia, Ohio","1","0.37"
"Nine","1","0.37"
"None ","1","0.37"
"None now previously Springfield outpatient","1","0.37"
"None, never explored option","1","0.37"
"Northampton ","1","0.37"
"Northampton va medical center ","1","0.37"
"Northampton/Leeds, MA","1","0.37"
"Oahu","1","0.37"
"OKC ","1","0.37"
"Oklahoma","1","0.37"
"Oklahoma City ","1","0.37"
"Orlando, FL","1","0.37"
"Overton Brooks VA Medical Center ","1","0.37"
"Palo alto","1","0.37"
"Pensacola","1","0.37"
"Philadelphia ","1","0.37"
"Phoenix Va Medical Center","1","0.37"
"Phoenix, AZ","1","0.37"
"Pittsburgh PA","1","0.37"
"Plymouth, MA Clinic ","1","0.37"
"Portland ","1","0.37"
"Portland VAMC","1","0.37"
"prefer not to answer","1","0.37"
"Prefer not to answer","1","0.37"
"Prescott VA Hospital ","1","0.37"
"Prescott, AZ","1","0.37"
"Private","1","0.37"
"private dr","1","0.37"
"Providence RI","1","0.37"
"Providence RI ","1","0.37"
"Providence, R.I.","1","0.37"
"Providence, RI","1","0.37"
"Pueblo Colorado","1","0.37"
"quincy","1","0.37"
"Raymond g murphey","1","0.37"
"Redding California","1","0.37"
"RI","1","0.37"
"Richmond ","1","0.37"
"Richmond VA","1","0.37"
"Rock Hill","1","0.37"
"Saco","1","0.37"
"Saginaw","1","0.37"
"Saginaw Michigan","1","0.37"
"Salt lake city","1","0.37"
"Salt Lake City","1","0.37"
"San Diego","1","0.37"
"san diego ","1","0.37"
"Savannah ","1","0.37"
"Seattle ","1","0.37"
"Springfield","1","0.37"
"Springfield - Bond St","1","0.37"
"Springfield Massachusetts","1","0.37"
"Springfield, Massachusetts","1","0.37"
"Stratton","1","0.37"
"Syracuse ","1","0.37"
"Tavares Florida","1","0.37"
"VA  BostonJamaica Plain","1","0.37"
"VA Bond st Springfield, MA","1","0.37"
"VA Central Western MA","1","0.37"
"VA Central Western Massachusetts Healthcare System","1","0.37"
"VA Clinic, North Quincy, MA","1","0.37"
"VA Jamaica Plain","1","0.37"
"VA Leeds/ Vet Center West Springfield, MA","1","0.37"
"VA Medical Center Boston Jamaica Plain","1","0.37"
"VA Nashville ","1","0.37"
"VA Outpatient Clinic, 25 Bond St, Springfield, MA 01104","1","0.37"
"Vegas","1","0.37"
"Viera OPC, Viera FL","1","0.37"
"Vierra, Fl","1","0.37"
"Waco TX","1","0.37"
"Washington","1","0.37"
"Watertown ","1","0.37"
"West Los Angeles","1","0.37"
"West Palm","1","0.37"
"West Roxbury ","1","0.37"
"West Roxbury VAMC  Massachusetts","1","0.37"
"West Virginia ","1","0.37"
"Western MA, Leeds and Springfield","1","0.37"
"White City, OR (SORCC)","1","0.37"
"Wilmington va","1","0.37"
"worcester","1","0.37"
"Worcester ","1","0.37"
"Worcester CBOC","1","0.37"
"Worcester MA","1","0.37"
"Worcester Ma. outpatient ","1","0.37"
"Yeah, right","1","0.37"
"yuba city","1","0.37"
