"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  148  avg =  24.061"
"response","count","percent_responded"
"0","35","23.65"
"50","6","4.05"
"26","5","3.38"
"11","4","2.7"
"13","4","2.7"
"2","4","2.7"
"24","4","2.7"
"39","4","2.7"
"8","4","2.7"
"16","3","2.03"
"19","3","2.03"
"21","3","2.03"
"27","3","2.03"
"3","3","2.03"
"4","3","2.03"
"51","3","2.03"
"1","2","1.35"
"100","2","1.35"
"14","2","1.35"
"17","2","1.35"
"18","2","1.35"
"22","2","1.35"
"23","2","1.35"
"29","2","1.35"
"30","2","1.35"
"33","2","1.35"
"35","2","1.35"
"47","2","1.35"
"49","2","1.35"
"6","2","1.35"
"7","2","1.35"
"76","2","1.35"
"10","1","0.68"
"12","1","0.68"
"15","1","0.68"
"31","1","0.68"
"34","1","0.68"
"36","1","0.68"
"40","1","0.68"
"41","1","0.68"
"42","1","0.68"
"43","1","0.68"
"48","1","0.68"
"52","1","0.68"
"55","1","0.68"
"61","1","0.68"
"63","1","0.68"
"64","1","0.68"
"66","1","0.68"
"69","1","0.68"
"73","1","0.68"
"82","1","0.68"
"85","1","0.68"
"87","1","0.68"
"9","1","0.68"
"91","1","0.68"
"97","1","0.68"
