"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  78"
"response","count","percent_responded"
"Chronic pain","31","39.74"
"Posttraumatic stress disorder (PTSD)","17","21.79"
"Anxiety","10","12.82"
"Arthritis","5","6.41"
"Depression","4","5.13"
"Insomnia","4","5.13"
"Attention deficit/hyperactivity disorder (ADHD)","1","1.28"
"Bipolar/manic depression","1","1.28"
"Cancer","1","1.28"
"Gastrointestinal/digestive system disorders","1","1.28"
"HIV/AIDS","1","1.28"
"Hypertension","1","1.28"
"Respiratory problems","1","1.28"
