"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  723"
"response","count","percent_responded"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","302","41.77"
"Have not seen advertising","236","32.64"
"In magizines or newspapers","176","24.34"
"On billboards","125","17.29"
"On storefronts","98","13.55"
"At an event, like a concert, fair, rodeo, parade, or similar","86","11.89"
"In pamphlets or flyers","84","11.62"
"On the radio","83","11.48"
"On television","50","6.92"
"On street side marketing, like sandwich boards","40","5.53"
"Other (please specify)","29","4.01"
"Other (please specify below)","17","2.35"
"On signs being held by people on sidewalks (sign wavers)","13","1.8"
