"q48","What is your top preferred method (that is, favorite method) of using cannabis? (Please select one)","n =  185"
"response","count","percent_responded"
"Smoke flower","83","44.86"
"Vape cartridges","37","20"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","34","18.38"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","12","6.49"
"Tinctures","8","4.32"
"Vape flower","6","3.24"
"Capsules","2","1.08"
"Salves/topicals","2","1.08"
"Transdermal patches","1","0.54"
