"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  146"
"response","count","percent_responded"
"Smoke flower","98","67.12"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","91","62.33"
"Vape cartridges","74","50.68"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","56","38.36"
"Tinctures","51","34.93"
"Vape flower","46","31.51"
"Salves/topicals","40","27.4"
"Capsules","23","15.75"
"Transdermal patches","15","10.27"
"Suppositories","10","6.85"
"Other (please specify)","4","2.74"
