"q14","What are the effects of your pain? (Please select all that apply)","n =  80"
"response","count","percent_responded"
"Physical activity","72","90"
"Enjoyment of life","69","86.25"
"Sleep","64","80"
"Energy level","63","78.75"
"Mobility","61","76.25"
"Mood","57","71.25"
"Depression","54","67.5"
"Concentration","48","60"
"Household chores","48","60"
"Anxiety","45","56.25"
"Relationships with others","44","55"
"Sexual functioning","43","53.75"
"Self esteem","38","47.5"
"Personal care","34","42.5"
"Memory","31","38.75"
"Appetite","26","32.5"
