"q48","What is your top preferred method (that is, favorite method) of using cannabis? (Please select one)","n =  565"
"response","count","percent_responded"
"Smoke flower","265","46.9"
"Vape cartridges","87","15.4"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","85","15.04"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","41","7.26"
"Tinctures","34","6.02"
"Vape flower","32","5.66"
"Capsules","16","2.83"
"Salves/topicals","4","0.71"
"Transdermal patches","1","0.18"
