"q12","What is your top preferred method (that is, favorite) of using cannabis? (Please select one)","n =  641"
"response","count","percent_responded"
"Smoke flower","332","51.79"
"Vape cartridges","116","18.1"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","53","8.27"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","51","7.96"
"Vape flower","51","7.96"
"Tinctures","23","3.59"
"Other (please specify)","7","1.09"
"Capsules","4","0.62"
"Salves/topicals","2","0.31"
"Suppositories","2","0.31"
