"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  391"
"response","count","percent_responded"
"Chronic pain","297","75.96"
"Anxiety","278","71.1"
"Depression","262","67.01"
"Posttraumatic stress disorder (PTSD)","221","56.52"
"Arthritis","174","44.5"
"Insomnia","169","43.22"
"Hypertension","108","27.62"
"Allergies","100","25.58"
"Gastrointestinal/digestive system disorders","100","25.58"
"Other (please specify)","87","22.25"
"Obesity","83","21.23"
"Reflux esophagitis","76","19.44"
"Respiratory problems","63","16.11"
"Attention deficit/hyperactivity disorder (ADHD)","57","14.58"
"Diabetes","57","14.58"
"Substance abuse/addiction","52","13.3"
"Cardiovascular disease","41","10.49"
"Fibromyalgia/myositis","37","9.46"
"Inflammatory bowel disease (IBD)","37","9.46"
"Cancer","32","8.18"
"Eczema","32","8.18"
"Bipolar/manic depression","28","7.16"
"HIV/AIDS","7","1.79"
"Multiple sclerosis","6","1.53"
"Epilepsy","5","1.28"
"Alzheimer's","2","0.51"
"Autism","1","0.26"
