"q67","Which VA do you go to?","n =  106"
"response","count","percent_responded"
"None","8","7.55"
"N/A","6","5.66"
"none","6","5.66"
"Brockton","3","2.83"
"n/a","3","2.83"
"Providence","3","2.83"
"Northampton ","2","1.89"
"Worcester","2","1.89"
"Alaska","1","0.94"
"Albany, NY","1","0.94"
"All mass clinics","1","0.94"
"American Lake","1","0.94"
"Baltimore ","1","0.94"
"BOHC","1","0.94"
"Boston","1","0.94"
"Boston - JP","1","0.94"
"Boston (JP/West Roxbury)","1","0.94"
"Boston JP","1","0.94"
"Burlington vermont","1","0.94"
"Charlie Norwood va","1","0.94"
"Cincinnati VA","1","0.94"
"Clairmont Rd, decatur","1","0.94"
"Davenport, IA ","1","0.94"
"Dayton VAMC","1","0.94"
"DC VAMC","1","0.94"
"Detroit","1","0.94"
"do not go to va","1","0.94"
"El Paso","1","0.94"
"Evansville ","1","0.94"
"Fayetteville AR","1","0.94"
"Fitchburg Outpatient Clinic","1","0.94"
"Fort Myers Florida","1","0.94"
"hospital","1","0.94"
"Huntsville AL","1","0.94"
"I'm currently in using a VA","1","0.94"
"I don't use the VA","1","0.94"
"I don’t ","1","0.94"
"Jamaica Plain","1","0.94"
"Jamaica Plain and West Roxbury","1","0.94"
"Jamaica Plains","1","0.94"
"Jamaica plian","1","0.94"
"Leeds","1","0.94"
"Leeds Massachusetts ","1","0.94"
"Lynn VA clinic","1","0.94"
"MA","1","0.94"
"Manchester","1","0.94"
"Manchester, NH","1","0.94"
"Manhattan ","1","0.94"
"Martinez, CA","1","0.94"
"Mountain Home TN","1","0.94"
"Mt. Vernon, WA","1","0.94"
"Nevada","1","0.94"
"Never been","1","0.94"
"No","1","0.94"
"None, never explored option","1","0.94"
"Nope","1","0.94"
"north carolina","1","0.94"
"Northampton","1","0.94"
"Northampton va medical center ","1","0.94"
"Northampton/Leeds, MA","1","0.94"
"Overton Brooks VA Medical Center ","1","0.94"
"Pittsburgh","1","0.94"
"Portland","1","0.94"
"Portland ","1","0.94"
"Providence ","1","0.94"
"Richmond ","1","0.94"
"San Francisco","1","0.94"
"Spokane WA","1","0.94"
"Stratton","1","0.94"
"Syracuse ","1","0.94"
"Tripler Hawaii","1","0.94"
"Tulare,CA","1","0.94"
"VA Central Western MA","1","0.94"
"VA Jamaica Plain","1","0.94"
"VA Medical Center Boston Jamaica Plain","1","0.94"
"West Roxbury","1","0.94"
"West Roxbury ","1","0.94"
"West Roxbury VA ","1","0.94"
"Worcester MA","1","0.94"
"Worcester, MA","1","0.94"
"Yuba City, CA Clinic","1","0.94"
