"q74","What was the highest pay grade/rank achieved at the time of formal discharge?","n =  217"
"response","count","percent_responded"
"E4","31","14.29"
"E5","20","9.22"
"E-4","15","6.91"
"E3","13","5.99"
"E6","11","5.07"
"E-5","8","3.69"
"E-6","6","2.76"
"e-4","5","2.3"
"e4","4","1.84"
"E7","4","1.84"
"E8","4","1.84"
"E-3","3","1.38"
"E1","3","1.38"
"E2","3","1.38"
"e3","3","1.38"
"O4","3","1.38"
"CW02","2","0.92"
"E-7","2","0.92"
"Lance Corporal","2","0.92"
"PFC","2","0.92"
"Pretty high","2","0.92"
"sgt","2","0.92"
"Sgt","2","0.92"
"Spec5","2","0.92"
"TSgt","2","0.92"
"0-4","1","0.46"
"1LT","1","0.46"
"1SG","1","0.46"
"4","1","0.46"
"5 Star General","1","0.46"
"A1C","1","0.46"
"AIR FORCE CADET","1","0.46"
"AW 2nd class","1","0.46"
"Captain","1","0.46"
"Colonel","1","0.46"
"cpl","1","0.46"
"CPL.","1","0.46"
"Cw3","1","0.46"
"CW3","1","0.46"
"E-0","1","0.46"
"E-1","1","0.46"
"E-2","1","0.46"
"e-4/mm3","1","0.46"
"E-5 P.","1","0.46"
"E-5 sergeant ","1","0.46"
"E-6/Technical Sergeant","1","0.46"
"E-8","1","0.46"
"E-8/First Sergeant","1","0.46"
"E 4","1","0.46"
"e2","1","0.46"
"E4 specialist/corporal","1","0.46"
"E4P","1","0.46"
"e5","1","0.46"
"e6","1","0.46"
"E6/SSG","1","0.46"
"First Sergeant/E8","1","0.46"
"Ha ha","1","0.46"
"Major","1","0.46"
"Major O-4","1","0.46"
"MSG","1","0.46"
"MSG/E8","1","0.46"
"MSgt/E-7","1","0.46"
"none","1","0.46"
"O-4","1","0.46"
"O-5/Lt Col","1","0.46"
"O3-E","1","0.46"
"PFC E-3","1","0.46"
"prefer not to answer","1","0.46"
"ROTC CADET E5","1","0.46"
"sargeant","1","0.46"
"Sargent","1","0.46"
"Seaman","1","0.46"
"SGT","1","0.46"
"SGT E-5","1","0.46"
"Sgt e5","1","0.46"
"SGT E5","1","0.46"
"Sgt. E-5","1","0.46"
"SGT/E5","1","0.46"
"Spc4, I was offered chief by Pompey and I threatened him and that fat fuck had me pickled, I gonna kill him Mike Pompeo he's got my hat too that we argued over.","1","0.46"
"Spec 5","1","0.46"
"Specialist 4","1","0.46"
"Ssg","1","0.46"
"SSG army","1","0.46"
"SSG/E6","1","0.46"
"Ssgt ","1","0.46"
"SSgt ","1","0.46"
"Staff Sergeant","1","0.46"
"test","1","0.46"
