"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  146"
"response","count","percent_responded"
"Pain","95","65.07"
"Sleep/insomnia","85","58.22"
"Depression/mood","76","52.05"
"Anxiety/panic attacks","67","45.89"
"Inflammation","38","26.03"
"Aggression","37","25.34"
"Headache","35","23.97"
"Appetite/weight","31","21.23"
"Spasms","30","20.55"
"Attention/concentration","29","19.86"
"Nausea/vomiting","22","15.07"
"Other (please specify)","7","4.79"
"Ocular pressure","6","4.11"
"Mania/psychosis","5","3.42"
"Skin conditions","5","3.42"
"Respiratory","3","2.05"
"Drug withdrawal","1","0.68"
"Seizures","1","0.68"
