"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  78"
"response","count","percent_responded"
"Pain","55","70.51"
"Depression/mood","51","65.38"
"Sleep/insomnia","50","64.1"
"Anxiety/panic attacks","44","56.41"
"Inflammation","34","43.59"
"Headache","29","37.18"
"Attention/concentration","26","33.33"
"Appetite/weight","25","32.05"
"Aggression","23","29.49"
"Spasms","19","24.36"
"Skin conditions","11","14.1"
"Nausea/vomiting","10","12.82"
"Ocular pressure","6","7.69"
"Respiratory","6","7.69"
"Other (please specify)","5","6.41"
"Mania/psychosis","2","2.56"
"Drug withdrawal","1","1.28"
