"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  56"
"response","count","percent_responded"
"Chronic pain","26","46.43"
"Posttraumatic stress disorder (PTSD)","13","23.21"
"Depression","3","5.36"
"Anxiety","2","3.57"
"Arthritis","2","3.57"
"Cancer","2","3.57"
"Diabetes","2","3.57"
"Fibromyalgia/myositis","1","1.79"
"Gastrointestinal/digestive system disorders","1","1.79"
"Inflammatory bowel disease (IBD)","1","1.79"
"Insomnia","1","1.79"
"Reflux esophagitis","1","1.79"
"Respiratory problems","1","1.79"
