"q5","Which of the following health conditions do you find cannabis to be helpful or most impactful? Please select all that apply.","n =  119"
"response","count","percent_responded"
"Anxiety","91","76.47"
"Depression/mood","82","68.91"
"Chronic and Severe pain","67","56.3"
"Insomnia","63","52.94"
"Post-Traumatic Stress Disorder (PTSD)","36","30.25"
"Nausea/vomiting","31","26.05"
"Attention Deficit/Hyperactivity Disorder (ADHD)","29","24.37"
"Arthritis","24","20.17"
"Migraines","24","20.17"
"Inflammatory Bowel Disease (IBD)","18","15.13"
"PMS Symptoms","17","14.29"
"Other (please specify)","16","13.45"
"Fibromyalgia","8","6.72"
"Persistent muscle spasms","8","6.72"
"I do not use cannabis for a health condition","7","5.88"
"Menopause","5","4.2"
"Cancer","4","3.36"
"Crohn's Disease","3","2.52"
"Multiple sclerosis","3","2.52"
"Multiple Sclerosis","2","1.68"
"Ulcerative colitis","2","1.68"
"Epilipsey","1","0.84"
"Glaucoma","1","0.84"
"Seizures","1","0.84"
