"q12","What is your top preferred method (that is, favorite) of using cannabis? (Please select one)","n =  834"
"response","count","percent_responded"
"Smoke flower","411","49.28"
"Vape cartridges","151","18.11"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","83","9.95"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","67","8.03"
"Vape flower","61","7.31"
"Tinctures","40","4.8"
"Capsules","8","0.96"
"Other (please specify)","7","0.84"
"Salves/topicals","3","0.36"
"Suppositories","2","0.24"
"Transdermal patches","1","0.12"
