"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  299  avg =  93.02"
"response","count","percent_responded"
"0","105","35.12"
"100","18","6.02"
"10","15","5.02"
"20","15","5.02"
"30","15","5.02"
"50","14","4.68"
"150","13","4.35"
"200","13","4.35"
"40","10","3.34"
"25","7","2.34"
"250","5","1.67"
"300","5","1.67"
"15","4","1.34"
"400","4","1.34"
"55","4","1.34"
"60","4","1.34"
"75","4","1.34"
"80","4","1.34"
"1000","3","1"
"350","3","1"
"5","3","1"
"70","3","1"
"700","3","1"
"8","3","1"
"1","2","0.67"
"16","2","0.67"
"45","2","0.67"
"500","2","0.67"
"90","2","0.67"
"125","1","0.33"
"140","1","0.33"
"1500","1","0.33"
"160","1","0.33"
"180","1","0.33"
"195","1","0.33"
"2000","1","0.33"
"35","1","0.33"
"4","1","0.33"
"56","1","0.33"
"800","1","0.33"
"900","1","0.33"
