"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  266"
"response","count","percent_responded"
"Sleep/insomnia","171","64.29"
"Anxiety/panic attacks","167","62.78"
"Depression/mood","166","62.41"
"Pain","133","50"
"Aggression","97","36.47"
"Headache","74","27.82"
"Attention/concentration","73","27.44"
"Appetite/weight","65","24.44"
"Inflammation","58","21.8"
"Spasms","47","17.67"
"Nausea/vomiting","40","15.04"
"Mania/psychosis","13","4.89"
"Other (please specify)","12","4.51"
"Skin conditions","8","3.01"
"Ocular pressure","7","2.63"
"Respiratory","4","1.5"
"Drug withdrawal","2","0.75"
"Seizures","2","0.75"
