"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  133"
"response","count","percent_responded"
"Chronic pain","65","48.87"
"Posttraumatic stress disorder (PTSD)","37","27.82"
"Anxiety","7","5.26"
"Depression","5","3.76"
"Bipolar/manic depression","4","3.01"
"Arthritis","2","1.5"
"Cancer","2","1.5"
"Gastrointestinal/digestive system disorders","2","1.5"
"Insomnia","2","1.5"
"Multiple sclerosis","2","1.5"
"Cardiovascular disease","1","0.75"
"Fibromyalgia/myositis","1","0.75"
"Obesity","1","0.75"
"Reflux esophagitis","1","0.75"
"Respiratory problems","1","0.75"
