"q30","What are some barriers for you consuming cannabis? Please select all that apply.","n =  641"
"response","count","percent_responded"
"Money","398","62.09"
"Access to the right products","201","31.36"
"Stigma","198","30.89"
"Place to consume cannabis","193","30.11"
"Workplace testing or other policies","154","24.02"
"No barriers","105","16.38"
"Time required to get medical card or obtain products","92","14.35"
"Lack of knowledge","61","9.52"
"Other (please specify)","37","5.77"
"Previous bad experience","20","3.12"
